id, date, time, in, out, inSum, outSum
1,2021-01-01,05:00,0,0,0,0
2,2021-01-01,05:00,0,0,0,0
3,2021-01-01,05:00,0,0,0,0
4,2021-01-01,05:00,0,0,0,0
5,2021-01-01,05:00,0,0,0,0
6,2021-01-01,05:00,0,0,0,0
7,2021-01-01,05:00,0,0,0,0
8,2021-01-01,05:00,0,0,0,0
9,2021-01-01,05:00,2,0,2,0
10,2021-01-01,05:00,0,0,0,0
11,2021-01-01,05:00,0,0,0,0
12,2021-01-01,05:00,0,0,0,0
13,2021-01-01,05:00,1,0,1,0
14,2021-01-01,05:00,0,0,0,0
15,2021-01-01,05:00,0,0,0,0
16,2021-01-01,05:00,0,0,0,0
17,2021-01-01,05:00,0,0,0,0
18,2021-01-01,05:00,0,0,0,0
19,2021-01-01,05:00,0,0,0,0
1,2021-01-01,05:01,0,0,0,0
2,2021-01-01,05:01,0,0,0,0
3,2021-01-01,05:01,0,0,0,0
4,2021-01-01,05:01,0,0,0,0
5,2021-01-01,05:01,0,0,0,0
6,2021-01-01,05:01,0,0,0,0
7,2021-01-01,05:01,0,0,0,0
8,2021-01-01,05:01,0,0,0,0
9,2021-01-01,05:01,0,0,2,0
10,2021-01-01,05:01,0,0,0,0
11,2021-01-01,05:01,0,0,0,0
12,2021-01-01,05:01,0,0,0,0
13,2021-01-01,05:01,2,0,3,0
14,2021-01-01,05:01,0,0,0,0
15,2021-01-01,05:01,0,0,0,0
16,2021-01-01,05:01,0,0,0,0
17,2021-01-01,05:01,0,0,0,0
18,2021-01-01,05:01,0,0,0,0
19,2021-01-01,05:01,0,0,0,0
1,2021-01-01,05:02,0,0,0,0
2,2021-01-01,05:02,0,0,0,0
3,2021-01-01,05:02,0,0,0,0
4,2021-01-01,05:02,0,0,0,0
5,2021-01-01,05:02,0,0,0,0
6,2021-01-01,05:02,0,0,0,0
7,2021-01-01,05:02,0,0,0,0
8,2021-01-01,05:02,0,0,0,0
9,2021-01-01,05:02,0,0,2,0
10,2021-01-01,05:02,0,0,0,0
11,2021-01-01,05:02,0,3,0,3
12,2021-01-01,05:02,0,0,0,0
13,2021-01-01,05:02,0,0,3,0
14,2021-01-01,05:02,0,0,0,0
15,2021-01-01,05:02,0,0,0,0
16,2021-01-01,05:02,0,0,0,0
17,2021-01-01,05:02,0,0,0,0
18,2021-01-01,05:02,0,0,0,0
19,2021-01-01,05:02,0,0,0,0
1,2021-01-01,05:03,0,0,0,0
2,2021-01-01,05:03,0,0,0,0
3,2021-01-01,05:03,0,0,0,0
4,2021-01-01,05:03,0,0,0,0
5,2021-01-01,05:03,0,0,0,0
6,2021-01-01,05:03,0,0,0,0
7,2021-01-01,05:03,0,0,0,0
8,2021-01-01,05:03,0,0,0,0
9,2021-01-01,05:03,0,0,2,0
10,2021-01-01,05:03,0,0,0,0
11,2021-01-01,05:03,0,3,0,6
12,2021-01-01,05:03,0,0,0,0
13,2021-01-01,05:03,0,0,3,0
14,2021-01-01,05:03,0,0,0,0
15,2021-01-01,05:03,0,0,0,0
16,2021-01-01,05:03,0,0,0,0
17,2021-01-01,05:03,0,0,0,0
18,2021-01-01,05:03,0,0,0,0
19,2021-01-01,05:03,0,0,0,0
1,2021-01-01,05:04,0,0,0,0
2,2021-01-01,05:04,0,0,0,0
3,2021-01-01,05:04,0,0,0,0
4,2021-01-01,05:04,0,0,0,0
5,2021-01-01,05:04,0,0,0,0
6,2021-01-01,05:04,0,0,0,0
7,2021-01-01,05:04,0,0,0,0
8,2021-01-01,05:04,0,0,0,0
9,2021-01-01,05:04,0,0,2,0
10,2021-01-01,05:04,0,0,0,0
11,2021-01-01,05:04,0,3,0,9
12,2021-01-01,05:04,0,0,0,0
13,2021-01-01,05:04,0,0,3,0
14,2021-01-01,05:04,0,0,0,0
